"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Mar 21 02:52:30 UTC 2026","Sat Mar 21 02:53:22 UTC 2026","51855","pytests.specs.automation_exercise.individual_tests","test_tc06_contact_us_form","","","","test_tc06_contact_us_form[firefox]","Verify user can submit contact us form successfully"
"passed","Sat Mar 21 02:53:24 UTC 2026","Sat Mar 21 02:53:34 UTC 2026","10114","pytests.specs.automation_exercise.individual_tests","test_tc26_verify_scroll_up_without_arrow_button","","","","test_tc26_verify_scroll_up_without_arrow_button[webkit]",""
"passed","Sat Mar 21 02:51:14 UTC 2026","Sat Mar 21 02:51:21 UTC 2026","7898","pytests.specs.automation_exercise.individual_tests","test_tc05_register_existing_email","","","","test_tc05_register_user_with_existing_email[firefox]","Verify error message is displayed when user tries to register with existing email"
"passed","Sat Mar 21 02:52:54 UTC 2026","Sat Mar 21 02:52:57 UTC 2026","3002","pytests.specs.automation_exercise.individual_tests","test_tc08_verify_products_and_detail","","","","test_tc08_verify_all_products_and_product_detail_page[chromium]","Verify all products page and product detail page display correct information"
"passed","Sat Mar 21 02:51:53 UTC 2026","Sat Mar 21 02:52:01 UTC 2026","8080","pytests.specs.automation_exercise.individual_tests","test_tc22_add_cart_recommended_items","","","","test_tc22_add_to_cart_from_recommended_items[chromium]",""
"passed","Sat Mar 21 02:51:22 UTC 2026","Sat Mar 21 02:52:06 UTC 2026","43621","pytests.specs.automation_exercise.individual_tests","test_tc14_place_order_register_while_checkout","","","","test_tc14_place_order_register_while_checkout[firefox]","Verify user can place order by registering during checkout process"
"passed","Sat Mar 21 02:53:49 UTC 2026","Sat Mar 21 02:53:53 UTC 2026","3481","pytests.specs.automation_exercise.individual_tests","test_tc25_verify_scroll_up_arrow_button","","","","test_tc25_verify_scroll_up_using_arrow_button[firefox]",""
"passed","Sat Mar 21 02:50:56 UTC 2026","Sat Mar 21 02:51:01 UTC 2026","4841","pytests.specs.automation_exercise.individual_tests","test_tc10_verify_subscription_home","","","","test_tc10_verify_subscription_in_home_page[chromium]","Verify user can subscribe to newsletter from home page"
"passed","Sat Mar 21 02:51:05 UTC 2026","Sat Mar 21 02:51:24 UTC 2026","18868","pytests.specs.automation_exercise.individual_tests","test_tc08_verify_products_and_detail","","","","test_tc08_verify_all_products_and_product_detail_page[webkit]","Verify all products page and product detail page display correct information"
"passed","Sat Mar 21 02:50:33 UTC 2026","Sat Mar 21 02:50:37 UTC 2026","3730","pytests.specs.automation_exercise.individual_tests","test_parametrized_invalid_login","","","","test_parametrized_invalid_login[chromium-test@example.com-wrongpassword]",""
"passed","Sat Mar 21 02:50:32 UTC 2026","Sat Mar 21 02:50:41 UTC 2026","8133","pytests.specs.automation_exercise.individual_tests","test_parametrized_invalid_login","","","","test_parametrized_invalid_login[firefox-test@example.com-wrongpassword]",""
"passed","Sat Mar 21 02:51:08 UTC 2026","Sat Mar 21 02:51:18 UTC 2026","10017","pytests.specs.automation_exercise.individual_tests","test_tc11_verify_subscription_cart","","","","test_tc11_verify_subscription_in_cart_page[firefox]","Verify newsletter subscription functionality from cart page"
"passed","Sat Mar 21 02:52:49 UTC 2026","Sat Mar 21 02:53:04 UTC 2026","15013","pytests.specs.automation_exercise.individual_tests","test_tc22_add_cart_recommended_items","","","","test_tc22_add_to_cart_from_recommended_items[firefox]",""
"passed","Sat Mar 21 02:50:18 UTC 2026","Sat Mar 21 02:50:31 UTC 2026","12794","pytests.specs.automation_exercise.individual_tests","test_parametrized_invalid_login","","","","test_parametrized_invalid_login[firefox-invalid@example.com-wrongpassword]",""
"passed","Sat Mar 21 02:52:31 UTC 2026","Sat Mar 21 02:52:38 UTC 2026","7360","pytests.specs.automation_exercise.individual_tests","test_tc23_verify_address_details_checkout","","","","test_tc23_verify_address_details_in_checkout_page[chromium]",""
"passed","Sat Mar 21 02:52:59 UTC 2026","Sat Mar 21 02:53:19 UTC 2026","19773","pytests.specs.automation_exercise.individual_tests","test_tc17_remove_products_cart","","","","test_tc17_remove_products_from_cart[firefox]","Verify user can remove products from shopping cart"
"failed","Sat Mar 21 02:52:46 UTC 2026","Sat Mar 21 02:53:02 UTC 2026","15362","pytests.specs.automation_exercise.individual_tests","test_tc16_place_order_login_before_checkout","","","","test_tc16_place_order_login_before_checkout[firefox]","Verify user can place order by logging in before checkout process"
"failed","Sat Mar 21 02:51:12 UTC 2026","Sat Mar 21 02:51:24 UTC 2026","12618","pytests.specs.automation_exercise.individual_tests","test_tc02_login_user_correct","","","","test_tc02_login_user_with_correct_email_and_password[webkit]","Verify user can login with correct email and password"
"passed","Sat Mar 21 02:53:58 UTC 2026","Sat Mar 21 02:54:01 UTC 2026","2755","pytests.specs.automation_exercise.individual_tests","test_tc25_verify_scroll_up_arrow_button","","","","test_tc25_verify_scroll_up_using_arrow_button[webkit]",""
"failed","Sat Mar 21 02:51:45 UTC 2026","Sat Mar 21 02:51:59 UTC 2026","13809","pytests.specs.automation_exercise.individual_tests","test_tc13_verify_product_quantity_cart","","","","test_tc13_verify_product_quantity_in_cart[firefox]","Verify product quantity is correctly displayed in cart when custom quantity is set"
"passed","Sat Mar 21 02:51:19 UTC 2026","Sat Mar 21 02:51:44 UTC 2026","24881","pytests.specs.automation_exercise.individual_tests","test_tc12_add_products_cart","","","","test_tc12_add_products_in_cart[firefox]","Verify user can add multiple products to cart"
"passed","Sat Mar 21 02:50:29 UTC 2026","Sat Mar 21 02:50:43 UTC 2026","13455","pytests.specs.automation_exercise.individual_tests","test_tc03_login_user_incorrect","","","","test_tc03_login_user_with_incorrect_email_and_password[webkit]","Verify error message is displayed when user tries to login with incorrect credentials"
"passed","Sat Mar 21 02:53:19 UTC 2026","Sat Mar 21 02:53:27 UTC 2026","7937","pytests.specs.automation_exercise.individual_tests","test_tc26_verify_scroll_up_without_arrow_button","","","","test_tc26_verify_scroll_up_without_arrow_button[firefox]",""
"passed","Sat Mar 21 02:52:09 UTC 2026","Sat Mar 21 02:52:43 UTC 2026","34659","pytests.specs.automation_exercise.individual_tests","test_tc15_place_order_register_before_checkout","","","","test_tc15_place_order_register_before_checkout[webkit]","Verify user can place order by registering before checkout process"
"failed","Sat Mar 21 02:51:00 UTC 2026","Sat Mar 21 02:51:11 UTC 2026","10991","pytests.specs.automation_exercise.individual_tests","test_tc02_login_user_correct","","","","test_tc02_login_user_with_correct_email_and_password[firefox]","Verify user can login with correct email and password"
"passed","Sat Mar 21 02:51:36 UTC 2026","Sat Mar 21 02:51:46 UTC 2026","9433","pytests.specs.automation_exercise.individual_tests","test_tc13_verify_product_quantity_cart","","","","test_tc13_verify_product_quantity_in_cart[webkit]","Verify product quantity is correctly displayed in cart when custom quantity is set"
"passed","Sat Mar 21 02:51:57 UTC 2026","Sat Mar 21 02:52:05 UTC 2026","8631","pytests.specs.automation_exercise.individual_tests","test_tc18_view_category_products","","","","test_tc18_view_category_products[firefox]","Verify user can browse products by categories"
"passed","Sat Mar 21 02:52:03 UTC 2026","Sat Mar 21 02:52:09 UTC 2026","5984","pytests.specs.automation_exercise.individual_tests","test_tc19_view_brand_products","","","","test_tc19_view_and_cart_brand_products[chromium]","Verify user can browse products by brands"
"passed","Sat Mar 21 02:52:41 UTC 2026","Sat Mar 21 02:53:24 UTC 2026","42539","pytests.specs.automation_exercise.individual_tests","test_tc23_verify_address_details_checkout","","","","test_tc23_verify_address_details_in_checkout_page[webkit]",""
"failed","Sat Mar 21 02:51:27 UTC 2026","Sat Mar 21 02:51:36 UTC 2026","9114","pytests.specs.automation_exercise.individual_tests","test_tc04_logout_user","","","","test_tc04_logout_user[chromium]","Verify user can successfully logout from the application"
"passed","Sat Mar 21 02:51:50 UTC 2026","Sat Mar 21 02:52:07 UTC 2026","17765","pytests.specs.automation_exercise.individual_tests","test_tc12_add_products_cart","","","","test_tc12_add_products_in_cart[webkit]","Verify user can add multiple products to cart"
"passed","Sat Mar 21 02:50:29 UTC 2026","Sat Mar 21 02:50:45 UTC 2026","15446","pytests.specs.automation_exercise.individual_tests","test_parametrized_invalid_login","","","","test_parametrized_invalid_login[webkit-invalid@example.com-wrongpassword]",""
"passed","Sat Mar 21 02:51:47 UTC 2026","Sat Mar 21 02:52:26 UTC 2026","39359","pytests.specs.automation_exercise.individual_tests","test_tc14_place_order_register_while_checkout","","","","test_tc14_place_order_register_while_checkout[webkit]","Verify user can place order by registering during checkout process"
"passed","Sat Mar 21 02:52:18 UTC 2026","Sat Mar 21 02:52:48 UTC 2026","29808","pytests.specs.automation_exercise.individual_tests","test_tc20_search_products_verify_cart_after_login","","","","test_tc20_search_products_and_verify_cart_after_login[firefox]","Verify cart items persist after login when products are added before login"
"passed","Sat Mar 21 02:50:57 UTC 2026","Sat Mar 21 02:51:04 UTC 2026","7540","pytests.specs.automation_exercise.individual_tests","test_parametrized_invalid_login","","","","test_parametrized_invalid_login[webkit-notfound@example.com-password123]",""
"passed","Sat Mar 21 02:50:29 UTC 2026","Sat Mar 21 02:50:33 UTC 2026","3514","pytests.specs.automation_exercise.individual_tests","test_parametrized_invalid_login","","","","test_parametrized_invalid_login[chromium-invalid@example.com-wrongpassword]",""
"passed","Sat Mar 21 02:50:54 UTC 2026","Sat Mar 21 02:50:57 UTC 2026","3298","pytests.specs.automation_exercise.individual_tests","test_tc07_verify_test_cases_page","","","","test_tc07_verify_test_cases_page[chromium]","Verify user can navigate to test cases page successfully"
"passed","Sat Mar 21 02:53:25 UTC 2026","Sat Mar 21 02:53:50 UTC 2026","24885","pytests.specs.automation_exercise.individual_tests","test_tc24_download_invoice_after_purchase","","","","test_tc24_download_invoice_after_purchase_order[webkit]",""
"passed","Sat Mar 21 02:51:50 UTC 2026","Sat Mar 21 02:52:03 UTC 2026","13456","pytests.specs.automation_exercise.individual_tests","test_tc10_verify_subscription_home","","","","test_tc10_verify_subscription_in_home_page[webkit]","Verify user can subscribe to newsletter from home page"
"passed","Sat Mar 21 02:51:04 UTC 2026","Sat Mar 21 02:51:10 UTC 2026","5794","pytests.specs.automation_exercise.individual_tests","test_tc11_verify_subscription_cart","","","","test_tc11_verify_subscription_in_cart_page[chromium]","Verify newsletter subscription functionality from cart page"
"passed","Sat Mar 21 02:53:05 UTC 2026","Sat Mar 21 02:53:18 UTC 2026","13054","pytests.specs.automation_exercise.individual_tests","test_tc21_add_review_product","","","","test_tc21_add_review_on_product[firefox]",""
"passed","Sat Mar 21 02:51:00 UTC 2026","Sat Mar 21 02:51:07 UTC 2026","6516","pytests.specs.automation_exercise.individual_tests","test_tc09_search_product","","","","test_tc09_search_product[firefox]","Verify user can search for products and see relevant results"
"passed","Sat Mar 21 02:53:25 UTC 2026","Sat Mar 21 02:53:40 UTC 2026","14834","pytests.specs.automation_exercise.individual_tests","test_tc22_add_cart_recommended_items","","","","test_tc22_add_to_cart_from_recommended_items[webkit]",""
"passed","Sat Mar 21 02:50:20 UTC 2026","Sat Mar 21 02:50:34 UTC 2026","14081","pytests.specs.automation_exercise.individual_tests","test_tc03_login_user_incorrect","","","","test_tc03_login_user_with_incorrect_email_and_password[firefox]","Verify error message is displayed when user tries to login with incorrect credentials"
"failed","Sat Mar 21 02:51:34 UTC 2026","Sat Mar 21 02:51:47 UTC 2026","12827","pytests.specs.automation_exercise.individual_tests","test_tc04_logout_user","","","","test_tc04_logout_user[webkit]","Verify user can successfully logout from the application"
