"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Mar 20 07:58:04 UTC 2026","Fri Mar 20 07:58:14 UTC 2026","10445","pytests.specs.automation_exercise.individual_tests","test_tc02_login_user_correct","","","","test_tc02_login_user_with_correct_email_and_password[chromium]","Verify user can login with correct email and password"
"passed","Fri Mar 20 07:58:36 UTC 2026","Fri Mar 20 07:58:47 UTC 2026","11045","pytests.specs.automation_exercise.individual_tests","test_tc16_place_order_login_before_checkout","","","","test_tc16_place_order_login_before_checkout[chromium]","Verify user can place order by logging in before checkout process"
"broken","Fri Mar 20 07:58:10 UTC 2026","Fri Mar 20 07:58:54 UTC 2026","43867","pytests.specs.automation_exercise.individual_tests","test_tc06_contact_us_form","","","","test_tc06_contact_us_form[chromium]","Verify user can submit contact us form successfully"
"passed","Fri Mar 20 07:59:12 UTC 2026","Fri Mar 20 07:59:15 UTC 2026","2829","pytests.specs.automation_exercise.individual_tests","test_tc26_verify_scroll_up_without_arrow_button","","","","test_tc26_verify_scroll_up_without_arrow_button[chromium]",""
"passed","Fri Mar 20 07:58:16 UTC 2026","Fri Mar 20 07:58:19 UTC 2026","3770","pytests.specs.automation_exercise.individual_tests","test_tc05_register_existing_email","","","","test_tc05_register_user_with_existing_email[chromium]","Verify error message is displayed when user tries to register with existing email"
"passed","Fri Mar 20 07:59:04 UTC 2026","Fri Mar 20 07:59:13 UTC 2026","8370","pytests.specs.automation_exercise.individual_tests","test_tc22_add_cart_recommended_items","","","","test_tc22_add_to_cart_from_recommended_items[chromium]",""
"passed","Fri Mar 20 07:58:04 UTC 2026","Fri Mar 20 07:58:10 UTC 2026","5619","pytests.specs.automation_exercise.individual_tests","test_tc03_login_user_incorrect","","","","test_tc03_login_user_with_incorrect_email_and_password[chromium]","Verify error message is displayed when user tries to login with incorrect credentials"
"failed","Fri Mar 20 07:58:29 UTC 2026","Fri Mar 20 07:58:40 UTC 2026","11797","pytests.specs.automation_exercise.individual_tests","test_tc15_place_order_register_before_checkout","","","","test_tc15_place_order_register_before_checkout[chromium]","Verify user can place order by registering before checkout process"
"failed","Fri Mar 20 07:58:04 UTC 2026","Fri Mar 20 07:58:17 UTC 2026","12990","pytests.specs.automation_exercise.individual_tests","test_tc01_register_user","","","","test_tc01_register_user[chromium]","Verify user can successfully register with valid details"
"passed","Fri Mar 20 07:58:26 UTC 2026","Fri Mar 20 07:58:29 UTC 2026","3609","pytests.specs.automation_exercise.individual_tests","test_tc11_verify_subscription_cart","","","","test_tc11_verify_subscription_in_cart_page[chromium]","Verify newsletter subscription functionality from cart page"
"passed","Fri Mar 20 07:58:16 UTC 2026","Fri Mar 20 07:58:20 UTC 2026","3424","pytests.specs.automation_exercise.individual_tests","test_tc07_verify_test_cases_page","","","","test_tc07_verify_test_cases_page[chromium]","Verify user can navigate to test cases page successfully"
"passed","Fri Mar 20 07:58:20 UTC 2026","Fri Mar 20 07:58:23 UTC 2026","3773","pytests.specs.automation_exercise.individual_tests","test_tc10_verify_subscription_home","","","","test_tc10_verify_subscription_in_home_page[chromium]","Verify user can subscribe to newsletter from home page"
"passed","Fri Mar 20 07:58:47 UTC 2026","Fri Mar 20 07:58:57 UTC 2026","10898","pytests.specs.automation_exercise.individual_tests","test_tc17_remove_products_cart","","","","test_tc17_remove_products_from_cart[chromium]","Verify user can remove products from shopping cart"
